hub_a,hub_b,kind,similarity,slug_a,slug_b,title,title_a,title_b
comparisons.csv,comparisons.csv,similar,0.882,s38-linecare-cmp,s43-linecare-kyoka-taihi,,ラインケアの比較（判例・ガイド）,ラインケア強化の対比（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.938,s38-linecare-cmp,s38-linecare-ratio,,ラインケアの比較（判例・ガイド）,ラインケアの比率（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-linecare-cmp,s43-linecare-kyoka-ratio,,ラインケアの比較（判例・ガイド）,ラインケア強化の比率（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,s38-shudan-diff,s43-shudan-katsuyo-diff,,集団分析の違い（判例・ガイド）,集団分析活用の違い（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.941,s38-linecare-matome,s43-linecare-kyoka-matome,,ラインケアの整理（判例・ガイド）,ラインケア強化の整理（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,s38-shudan-point,s43-shudan-katsuyo-point,,集団分析の要点（判例・ガイド）,集団分析活用の要点（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s38-linecare-taihi,s43-linecare-kyoka-cmp,,ラインケアの対比（判例・ガイド）,ラインケア強化の比較（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.941,s38-linecare-taihi,s43-linecare-kyoka-taihi,,ラインケアの対比（判例・ガイド）,ラインケア強化の対比（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.938,s38-linecare-taihi,s38-linecare-ratio,,ラインケアの対比（判例・ガイド）,ラインケアの比率（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s38-linecare-taihi,s43-linecare-kyoka-ratio,,ラインケアの対比（判例・ガイド）,ラインケア強化の比率（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,s38-shudan-kubun,s43-shudan-katsuyo-kubun,,集団分析の区分（判例・ガイド）,集団分析活用の区分（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.941,s38-linecare-tejun,s43-linecare-kyoka-tejun,,ラインケアの手順（判例・ガイド）,ラインケア強化の手順（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,s38-shudan-seido,s43-shudan-katsuyo-seido,,集団分析の制度（判例・ガイド）,集団分析活用の制度（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.933,s38-shudan-seido,s38-shudan-freq,,集団分析の制度（判例・ガイド）,集団分析の頻度（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.941,s38-linecare-unyo,s43-linecare-kyoka-unyo,,ラインケアの運用（判例・ガイド）,ラインケア強化の運用（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.938,s38-shudan-hantei,s43-shudan-katsuyo-hantei,,集団分析の判定（判例・ガイド）,集団分析活用の判定（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.909,s39-kiroku-cmp,s39-kiroku-taihi,,記録の比較（横断総合）,記録の対比（横断総合）
comparisons.csv,comparisons.csv,similar,0.917,s39-kiroku-cmp,s44-kiroku-kanri-cmp,,記録の比較（横断総合）,記録管理の比較（横断総合）
comparisons.csv,numbers.csv,similar,0.909,s39-kiroku-cmp,s39-kiroku-ratio,,記録の比較（横断総合）,記録の比率（横断総合）
comparisons.csv,comparisons.csv,similar,0.917,s39-kiroku-matome,s44-kiroku-kanri-matome,,記録の整理（横断総合）,記録管理の整理（横断総合）
comparisons.csv,comparisons.csv,similar,0.917,s39-kiroku-taihi,s44-kiroku-kanri-taihi,,記録の対比（横断総合）,記録管理の対比（横断総合）
comparisons.csv,numbers.csv,similar,0.909,s39-kiroku-taihi,s39-kiroku-ratio,,記録の対比（横断総合）,記録の比率（横断総合）
comparisons.csv,comparisons.csv,similar,0.917,s39-kiroku-tejun,s44-kiroku-kanri-tejun,,記録の手順（横断総合）,記録管理の手順（横断総合）
comparisons.csv,numbers.csv,similar,0.909,s39-shiken-seido,s39-shiken-freq,,試験の制度（横断総合）,試験の頻度（横断総合）
comparisons.csv,comparisons.csv,similar,0.917,s39-kiroku-unyo,s44-kiroku-kanri-unyo,,記録の運用（横断総合）,記録管理の運用（横断総合）
comparisons.csv,comparisons.csv,similar,0.933,s40-saihatsu-keikaku-cmp,s40-saihatsu-keikaku-taihi,,再発防止計画の比較（基礎整理）,再発防止計画の対比（基礎整理）
comparisons.csv,numbers.csv,similar,0.933,s40-saihatsu-keikaku-cmp,s40-saihatsu-keikaku-ratio,,再発防止計画の比較（基礎整理）,再発防止計画の比率（基礎整理）
comparisons.csv,numbers.csv,similar,0.933,s40-saihatsu-keikaku-taihi,s40-saihatsu-keikaku-ratio,,再発防止計画の対比（基礎整理）,再発防止計画の比率（基礎整理）
comparisons.csv,numbers.csv,similar,0.929,s40-kyufukki-shien-seido,s40-kyufukki-shien-freq,,休復職支援の制度（基礎整理）,休復職支援の頻度（基礎整理）
comparisons.csv,comparisons.csv,similar,0.929,s41-sangyoui-mensetsu-cmp,s41-sangyoui-mensetsu-taihi,,産業医面接の比較（実務連動）,産業医面接の対比（実務連動）
comparisons.csv,numbers.csv,similar,0.929,s41-sangyoui-mensetsu-cmp,s41-sangyoui-mensetsu-ratio,,産業医面接の比較（実務連動）,産業医面接の比率（実務連動）
comparisons.csv,numbers.csv,similar,0.929,s41-sangyoui-mensetsu-taihi,s41-sangyoui-mensetsu-ratio,,産業医面接の対比（実務連動）,産業医面接の比率（実務連動）
comparisons.csv,numbers.csv,similar,0.933,s41-kajurodo-seido,s41-kajurodo-freq,,過重労働対策の制度（実務連動）,過重労働対策の頻度（実務連動）
comparisons.csv,comparisons.csv,similar,0.933,s42-shokuba-kaizen-cmp,s42-shokuba-kaizen-taihi,,職場環境改善の比較（試験頻出）,職場環境改善の対比（試験頻出）
comparisons.csv,numbers.csv,similar,0.933,s42-shokuba-kaizen-cmp,s42-shokuba-kaizen-ratio,,職場環境改善の比較（試験頻出）,職場環境改善の比率（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-point,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の要点（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-kubun,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の区分（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-seido,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の制度（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-hantei,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の判定（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-cycle,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の周期（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-freq,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の頻度（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-time,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の時間（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-kijun,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の基準（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-diff,s42-harass-taiou-check,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の確認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-diff,s42-kon-harass-taiou-gokai,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の誤認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-diff,s42-kon-harass-taiou-omit,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の省略（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-diff,s42-kon-harass-taiou-over,,ハラスメント対応の違い（試験頻出）,ハラスメント対応の過剰（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-diff,s42-kon-harass-taiou-zero,,ハラスメント対応の違い（試験頻出）,ハラスメント対応のゼロ（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-kubun,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の区分（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-seido,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の制度（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-hantei,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の判定（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-cycle,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の周期（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-freq,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の頻度（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-time,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の時間（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-kijun,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の基準（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-point,s42-harass-taiou-check,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の確認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-point,s42-kon-harass-taiou-gokai,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の誤認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-point,s42-kon-harass-taiou-omit,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の省略（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-point,s42-kon-harass-taiou-over,,ハラスメント対応の要点（試験頻出）,ハラスメント対応の過剰（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-point,s42-kon-harass-taiou-zero,,ハラスメント対応の要点（試験頻出）,ハラスメント対応のゼロ（試験頻出）
comparisons.csv,numbers.csv,similar,0.933,s42-shokuba-kaizen-taihi,s42-shokuba-kaizen-ratio,,職場環境改善の対比（試験頻出）,職場環境改善の比率（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-seido,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の制度（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-hantei,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の判定（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-cycle,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の周期（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-freq,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の頻度（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-time,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の時間（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-kijun,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の基準（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-kubun,s42-harass-taiou-check,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の確認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-kubun,s42-kon-harass-taiou-gokai,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の誤認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-kubun,s42-kon-harass-taiou-omit,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の省略（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-kubun,s42-kon-harass-taiou-over,,ハラスメント対応の区分（試験頻出）,ハラスメント対応の過剰（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-kubun,s42-kon-harass-taiou-zero,,ハラスメント対応の区分（試験頻出）,ハラスメント対応のゼロ（試験頻出）
comparisons.csv,comparisons.csv,similar,0.882,s42-harass-taiou-seido,s42-harass-taiou-hantei,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の判定（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-seido,s42-harass-taiou-cycle,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の周期（試験頻出）
comparisons.csv,numbers.csv,similar,0.941,s42-harass-taiou-seido,s42-harass-taiou-freq,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の頻度（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-seido,s42-harass-taiou-time,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の時間（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-seido,s42-harass-taiou-kijun,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の基準（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-seido,s42-harass-taiou-check,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の確認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-seido,s42-kon-harass-taiou-gokai,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の誤認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-seido,s42-kon-harass-taiou-omit,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の省略（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-seido,s42-kon-harass-taiou-over,,ハラスメント対応の制度（試験頻出）,ハラスメント対応の過剰（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-seido,s42-kon-harass-taiou-zero,,ハラスメント対応の制度（試験頻出）,ハラスメント対応のゼロ（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-hantei,s42-harass-taiou-cycle,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の周期（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-hantei,s42-harass-taiou-freq,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の頻度（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-hantei,s42-harass-taiou-time,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の時間（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-hantei,s42-harass-taiou-kijun,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の基準（試験頻出）
comparisons.csv,numbers.csv,similar,0.882,s42-harass-taiou-hantei,s42-harass-taiou-check,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の確認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-hantei,s42-kon-harass-taiou-gokai,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の誤認（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-hantei,s42-kon-harass-taiou-omit,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の省略（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-hantei,s42-kon-harass-taiou-over,,ハラスメント対応の判定（試験頻出）,ハラスメント対応の過剰（試験頻出）
comparisons.csv,mistakes.csv,similar,0.882,s42-harass-taiou-hantei,s42-kon-harass-taiou-zero,,ハラスメント対応の判定（試験頻出）,ハラスメント対応のゼロ（試験頻出）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-matome,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の整理（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.944,s43-linecare-kyoka-cmp,s43-linecare-kyoka-taihi,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の対比（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-tejun,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の手順（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-unyo,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の運用（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-linecare-kyoka-cmp,s38-linecare-ratio,,ラインケア強化の比較（判例・ガイド）,ラインケアの比率（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-num,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の数値（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-meyasu,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の目安（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.944,s43-linecare-kyoka-cmp,s43-linecare-kyoka-ratio,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の比率（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-count,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の回数（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-linecare-kyoka-haibun,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の配分（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-kon-linecare-kyoka-kon,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の混同（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-kon-linecare-kyoka-reverse,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の逆転（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-kon-linecare-kyoka-blind,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の盲信（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-cmp,s43-kon-linecare-kyoka-skip,,ラインケア強化の比較（判例・ガイド）,ラインケア強化の放置（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-point,,集団分析活用の違い（判例・ガイド）,集団分析活用の要点（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-kubun,,集団分析活用の違い（判例・ガイド）,集団分析活用の区分（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-seido,,集団分析活用の違い（判例・ガイド）,集団分析活用の制度（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-hantei,,集団分析活用の違い（判例・ガイド）,集団分析活用の判定（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-cycle,,集団分析活用の違い（判例・ガイド）,集団分析活用の周期（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-freq,,集団分析活用の違い（判例・ガイド）,集団分析活用の頻度（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-time,,集団分析活用の違い（判例・ガイド）,集団分析活用の時間（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-kijun,,集団分析活用の違い（判例・ガイド）,集団分析活用の基準（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-shudan-katsuyo-check,,集団分析活用の違い（判例・ガイド）,集団分析活用の確認（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-kon-shudan-katsuyo-gokai,,集団分析活用の違い（判例・ガイド）,集団分析活用の誤認（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-kon-shudan-katsuyo-omit,,集団分析活用の違い（判例・ガイド）,集団分析活用の省略（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-kon-shudan-katsuyo-over,,集団分析活用の違い（判例・ガイド）,集団分析活用の過剰（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.882,s43-shudan-katsuyo-diff,s43-kon-shudan-katsuyo-zero,,集団分析活用の違い（判例・ガイド）,集団分析活用のゼロ（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-taihi,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の対比（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-tejun,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の手順（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-unyo,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の運用（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-num,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の数値（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-meyasu,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の目安（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-ratio,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の比率（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-count,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の回数（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.889,s43-linecare-kyoka-matome,s43-linecare-kyoka-haibun,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の配分（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-matome,s43-kon-linecare-kyoka-kon,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の混同（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-matome,s43-kon-linecare-kyoka-reverse,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の逆転（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-matome,s43-kon-linecare-kyoka-blind,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の盲信（判例・ガイド）
comparisons.csv,mistakes.csv,similar,0.889,s43-linecare-kyoka-matome,s43-kon-linecare-kyoka-skip,,ラインケア強化の整理（判例・ガイド）,ラインケア強化の放置（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-kubun,,集団分析活用の要点（判例・ガイド）,集団分析活用の区分（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-seido,,集団分析活用の要点（判例・ガイド）,集団分析活用の制度（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-hantei,,集団分析活用の要点（判例・ガイド）,集団分析活用の判定（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-cycle,,集団分析活用の要点（判例・ガイド）,集団分析活用の周期（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-freq,,集団分析活用の要点（判例・ガイド）,集団分析活用の頻度（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-time,,集団分析活用の要点（判例・ガイド）,集団分析活用の時間（判例・ガイド）
comparisons.csv,numbers.csv,similar,0.882,s43-shudan-katsuyo-point,s43-shudan-katsuyo-kijun,,集団分析活用の要点（判例・ガイド）,集団分析活用の基準（判例・ガイド）
