id,question,answer,explanation,explanation_summary,explanation_correct,explanation_opposite,explanation_point,category,tags,source,note
ichi-0011,仕事以外の要因（家庭など）はモデルの対象外とされている。,×,NIOSHモデルでは仕事のストレス要因に加え、個人的要因・緩衝要因（上司・同僚・家族の支援など）がストレス反応を修飾し、最終的な健康障害に至るプロセスを示している。,,,,,基礎・役割,第2章 / 産業ストレス,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0012,ストレス反応は身体的反応のみを指し、心理的反応は含まれない。,×,NIOSHモデルでは仕事のストレス要因に加え、個人的要因・緩衝要因（上司・同僚・家族の支援など）がストレス反応を修飾し、最終的な健康障害に至るプロセスを示している。,,,,,基礎・役割,第2章 / 産業ストレス,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0013,個人のストレス状態を診断するためのツールであり、集団分析には使用できない。,×,仕事のストレス判定図は集団分析に活用するツール。使用する調査票の種類は法律で指定されていない。,,,,,職場環境・配慮,第3章 / ストレスの評価方法,職場環境等の評価および改善の方法,
ichi-0014,「仕事の要求度」「仕事のコントロール」「上司や同僚の支援」の3つの尺度で職場のストレスレベルを評価する。,○,仕事のストレス判定図は集団分析に活用するツール。使用する調査票の種類は法律で指定されていない。,,,,,職場環境・配慮,第3章 / ストレスの評価方法,職場環境等の評価および改善の方法,
ichi-0015,判定図の結果が「高ストレス」でも、本人の申し出がなければ医師の面接指導は行えない。,×,仕事のストレス判定図は集団分析に活用するツール。使用する調査票の種類は法律で指定されていない。,,,,,職場環境・配慮,第3章 / ストレスの評価方法,職場環境等の評価および改善の方法,
ichi-0016,ストレスチェック制度の実施においては、この調査票の使用が法律で義務づけられている。,×,仕事のストレス判定図は集団分析に活用するツール。使用する調査票の種類は法律で指定されていない。,,,,,職場環境・配慮,第3章 / ストレスの評価方法,職場環境等の評価および改善の方法,
ichi-0017,「冗談でもそんなことを言ってはいけない」とたしなめ、気持ちを切り替えさせる。,×,危機対応の基本は「一人にしない・専門家につなぐ」。自殺念慮の言葉は必ず深刻に受け止め、本人の希望を待たずに専門家と連携する。,,,,,相談・連携・復職,第5章 / 危機対応,労働者からの相談への対応（話の聴き方、情報提供および助言の方法等）,
ichi-0018,「死にたいというのは本気か」と直接確認することは本人を追い詰めるため、避けるべきである。,×,危機対応の基本は「一人にしない・専門家につなぐ」。自殺念慮の言葉は必ず深刻に受け止め、本人の希望を待たずに専門家と連携する。,,,,,相談・連携・復職,第5章 / 危機対応,労働者からの相談への対応（話の聴き方、情報提供および助言の方法等）,
ichi-0019,深刻に受け止め、一人にせず、速やかに産業医や専門家につなぐ。,○,危機対応の基本は「一人にしない・専門家につなぐ」。自殺念慮の言葉は必ず深刻に受け止め、本人の希望を待たずに専門家と連携する。,,,,,相談・連携・復職,第5章 / 危機対応,労働者からの相談への対応（話の聴き方、情報提供および助言の方法等）,
ichi-0020,まずは本人の気が済むまで話を聞き、専門家への紹介は本人が希望してから行う。,×,危機対応の基本は「一人にしない・専門家につなぐ」。自殺念慮の言葉は必ず深刻に受け止め、本人の希望を待たずに専門家と連携する。,,,,,相談・連携・復職,第5章 / 危機対応,労働者からの相談への対応（話の聴き方、情報提供および助言の方法等）,
ichi-0021,職場復帰支援の第3ステップは、主治医による職場復帰可能の診断書の提出である。,×,第1＝休業開始・休業中のケア、第2＝主治医による復帰可能の判断、第3＝復帰可否の判断とプラン作成、第4＝最終的な復帰決定、第5＝フォローアップ。,,,,,相談・連携・復職,第7章 / 心の健康問題で休業した労働者の職場復帰支援,心の健康問題をもつ復職者への支援の方法,
ichi-0022,職場復帰支援の第3ステップは、職場復帰の可否の判断および職場復帰支援プランの作成である。,○,第1＝休業開始・休業中のケア、第2＝主治医による復帰可能の判断、第3＝復帰可否の判断とプラン作成、第4＝最終的な復帰決定、第5＝フォローアップ。,,,,,相談・連携・復職,第7章 / 心の健康問題で休業した労働者の職場復帰支援,心の健康問題をもつ復職者への支援の方法,
ichi-0023,職場復帰支援の第3ステップは、最終的な職場復帰の決定である。,×,第1＝休業開始・休業中のケア、第2＝主治医による復帰可能の判断、第3＝復帰可否の判断とプラン作成、第4＝最終的な復帰決定、第5＝フォローアップ。,,,,,相談・連携・復職,第7章 / 心の健康問題で休業した労働者の職場復帰支援,心の健康問題をもつ復職者への支援の方法,
ichi-0024,職場復帰支援の第3ステップは、職場復帰後のフォローアップである。,×,第1＝休業開始・休業中のケア、第2＝主治医による復帰可能の判断、第3＝復帰可否の判断とプラン作成、第4＝最終的な復帰決定、第5＝フォローアップ。,,,,,相談・連携・復職,第7章 / 心の健康問題で休業した労働者の職場復帰支援,心の健康問題をもつ復職者への支援の方法,
ichi-0025,仕事に強いストレスを感じている労働者は全体の2割程度である。,×,労働安全衛生調査では「仕事の質・量」が強いストレスの原因として最上位に挙げられることが多い。全体の約6割が強いストレスを感じている。,,,,,基礎・役割,第1章 / 働く人のストレス,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0026,強いストレスの原因として最も多いのは「職場の人間関係」である。,×,労働安全衛生調査では「仕事の質・量」が強いストレスの原因として最上位に挙げられることが多い。全体の約6割が強いストレスを感じている。,,,,,基礎・役割,第1章 / 働く人のストレス,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0027,強いストレスの原因として「仕事の質・量」を挙げる労働者が最も多い。,○,労働安全衛生調査では「仕事の質・量」が強いストレスの原因として最上位に挙げられることが多い。全体の約6割が強いストレスを感じている。,,,,,基礎・役割,第1章 / 働く人のストレス,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0028,ストレスを感じている労働者の割合は近年減少傾向にある。,×,労働安全衛生調査では「仕事の質・量」が強いストレスの原因として最上位に挙げられることが多い。全体の約6割が強いストレスを感じている。,,,,,基礎・役割,第1章 / 働く人のストレス,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0029,時間外・休日労働が月45時間を超えると、健康障害リスクが高まるとされている。,○,一般の労働者については、月80時間超の時間外・休日労働を行い疲労の蓄積が認められる者が申し出た場合に、医師による面接指導が義務となる。月100時間超で申出不要の面接指導が義務となるのは、研究開発業務従事者や高度プロフェッショナル制度適用者など特定の場合であり、通常の労働者に一律に当てはまるわけではない。医師は面接指導結果を踏まえ、就業上の措置について事業者に意見を述べる。費用は事業者負担となる。,,,,,基礎・役割,第1章 / メンタル不調と労働災害・過重労働防止,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0030,月100時間を超える時間外労働が認められた場合、労働者本人の申し出がなくても医師の面接指導を実施しなければならない。,×,一般の労働者については、月80時間超の時間外・休日労働を行い疲労の蓄積が認められる者が申し出た場合に、医師による面接指導が義務となる。月100時間超で申出不要の面接指導が義務となるのは、研究開発業務従事者や高度プロフェッショナル制度適用者など特定の場合であり、通常の労働者に一律に当てはまるわけではない。医師は面接指導結果を踏まえ、就業上の措置について事業者に意見を述べる。費用は事業者負担となる。,,,,,基礎・役割,第1章 / メンタル不調と労働災害・過重労働防止,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0031,長時間労働者への面接指導は、衛生委員会等で審議したうえで実施計画を策定する必要がある。,○,一般の労働者については、月80時間超の時間外・休日労働を行い疲労の蓄積が認められる者が申し出た場合に、医師による面接指導が義務となる。月100時間超で申出不要の面接指導が義務となるのは、研究開発業務従事者や高度プロフェッショナル制度適用者など特定の場合であり、通常の労働者に一律に当てはまるわけではない。医師は面接指導結果を踏まえ、就業上の措置について事業者に意見を述べる。費用は事業者負担となる。,,,,,基礎・役割,第1章 / メンタル不調と労働災害・過重労働防止,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0032,過労死の労災認定においては、発症前1か月に100時間または2〜6か月間平均で月80時間を超える時間外労働が目安となる。,○,一般の労働者については、月80時間超の時間外・休日労働を行い疲労の蓄積が認められる者が申し出た場合に、医師による面接指導が義務となる。月100時間超で申出不要の面接指導が義務となるのは、研究開発業務従事者や高度プロフェッショナル制度適用者など特定の場合であり、通常の労働者に一律に当てはまるわけではない。医師は面接指導結果を踏まえ、就業上の措置について事業者に意見を述べる。費用は事業者負担となる。,,,,,基礎・役割,第1章 / メンタル不調と労働災害・過重労働防止,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0033,パワーハラスメントの定義に含まれる要素として、「①優越的な関係を背景にした言動　②業務上必要かつ相当な範囲を超えたもの　③労働者の就業環境が害されるもの」という内容は正しい。,○,パワハラの3要素は「優越的な関係を背景にした言動」「業務上の適正な範囲を超えている」「就業環境が害される」。上司から部下に限らず、同僚・部下からの言動も含まれる。,,,,,基礎・役割,第1章 / 職場のハラスメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0034,パワーハラスメントの定義に含まれる要素として、「①優越的な関係を背景にした言動　②故意または悪意があるもの　③身体的な攻撃に限定されるもの」という内容は正しい。,×,パワハラの3要素は「優越的な関係を背景にした言動」「業務上の適正な範囲を超えている」「就業環境が害される」。上司から部下に限らず、同僚・部下からの言動も含まれる。,,,,,基礎・役割,第1章 / 職場のハラスメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0035,パワーハラスメントの定義に含まれる要素として、「①上司から部下への一方的な言動　②継続して繰り返し行われるもの　③精神的苦痛を与えるもの」という内容は正しい。,×,パワハラの3要素は「優越的な関係を背景にした言動」「業務上の適正な範囲を超えている」「就業環境が害される」。上司から部下に限らず、同僚・部下からの言動も含まれる。,,,,,基礎・役割,第1章 / 職場のハラスメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0036,パワーハラスメントの定義に含まれる要素として、「①職場内での言動に限定されるもの　②業務上の指示に関連するもの　③複数の労働者が関与するもの」という内容は正しい。,×,パワハラの3要素は「優越的な関係を背景にした言動」「業務上の適正な範囲を超えている」「就業環境が害される」。上司から部下に限らず、同僚・部下からの言動も含まれる。,,,,,基礎・役割,第1章 / 職場のハラスメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0037,常時50人以上の労働者を使用する事業場では、年1回のストレスチェックが義務づけられている。,○,常時50人以上の事業場では年1回の実施が義務（50人未満は努力義務）。結果の事業者への提供は本人同意が必要。面接指導は本人の申し出が要件。実施者は医師・保健師等。※2025年5月の法改正により50人未満にも義務化が決定（施行は公布後3年以内の予定）。,,,,,基礎・役割,第1章 / ストレスチェック制度の概要,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0038,ストレスチェックの結果は、本人の同意なく事業者に提供することができる。,×,常時50人以上の事業場では年1回の実施が義務（50人未満は努力義務）。結果の事業者への提供は本人同意が必要。面接指導は本人の申し出が要件。実施者は医師・保健師等。※2025年5月の法改正により50人未満にも義務化が決定（施行は公布後3年以内の予定）。,,,,,基礎・役割,第1章 / ストレスチェック制度の概要,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0039,高ストレス者への医師の面接指導は、全員に対して事業者が強制的に実施できる。,×,常時50人以上の事業場では年1回の実施が義務（50人未満は努力義務）。結果の事業者への提供は本人同意が必要。面接指導は本人の申し出が要件。実施者は医師・保健師等。※2025年5月の法改正により50人未満にも義務化が決定（施行は公布後3年以内の予定）。,,,,,基礎・役割,第1章 / ストレスチェック制度の概要,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0040,ストレスチェックの実施者は、事業場内の管理監督者が担うことが推奨されている。,×,常時50人以上の事業場では年1回の実施が義務（50人未満は努力義務）。結果の事業者への提供は本人同意が必要。面接指導は本人の申し出が要件。実施者は医師・保健師等。※2025年5月の法改正により50人未満にも義務化が決定（施行は公布後3年以内の予定）。,,,,,基礎・役割,第1章 / ストレスチェック制度の概要,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0041,メンタルヘルスケアの計画は人事部門が単独で策定し、衛生委員会への報告は不要である。,×,心の健康づくり計画は衛生委員会等で調査審議のうえ策定し、労働者への周知が必要。産業保健スタッフや人事労務スタッフが連携して進めることが重要。,,,,,基礎・役割,第1章 / 方針・計画の策定とマネジメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0042,心の健康づくり計画は、衛生委員会等での調査審議を経て策定することが求められる。,○,心の健康づくり計画は衛生委員会等で調査審議のうえ策定し、労働者への周知が必要。産業保健スタッフや人事労務スタッフが連携して進めることが重要。,,,,,基礎・役割,第1章 / 方針・計画の策定とマネジメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0043,小規模事業場では計画の策定は努力義務とされており、実施しなくても問題はない。,×,心の健康づくり計画は衛生委員会等で調査審議のうえ策定し、労働者への周知が必要。産業保健スタッフや人事労務スタッフが連携して進めることが重要。,,,,,基礎・役割,第1章 / 方針・計画の策定とマネジメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0044,計画の策定にあたっては、労働者の意見を反映させる必要はない。,×,心の健康づくり計画は衛生委員会等で調査審議のうえ策定し、労働者への周知が必要。産業保健スタッフや人事労務スタッフが連携して進めることが重要。,,,,,基礎・役割,第1章 / 方針・計画の策定とマネジメント,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0045,日常的な部下とのコミュニケーションを通じて、変化にいち早く気づくようにする。,○,管理監督者は抱え込まず、専門家や産業保健スタッフと連携することが重要。一人で問題解決しようとすることはラインケアとして不適切。,,,,,基礎・役割,第1章 / ラインケアの進め方と重要性,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0046,部下が不調を示したとき、問題が解決するまで管理監督者だけで対応する。,×,管理監督者は抱え込まず、専門家や産業保健スタッフと連携することが重要。一人で問題解決しようとすることはラインケアとして不適切。,,,,,基礎・役割,第1章 / ラインケアの進め方と重要性,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0047,職場環境や業務内容を見直し、ストレス要因の軽減を図る。,○,管理監督者は抱え込まず、専門家や産業保健スタッフと連携することが重要。一人で問題解決しようとすることはラインケアとして不適切。,,,,,基礎・役割,第1章 / ラインケアの進め方と重要性,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0048,部下から相談を受けた場合は、必要に応じて産業医等の専門家につなぐ。,○,管理監督者は抱え込まず、専門家や産業保健スタッフと連携することが重要。一人で問題解決しようとすることはラインケアとして不適切。,,,,,基礎・役割,第1章 / ラインケアの進め方と重要性,メンタルヘルスケアの意義と管理監督者の役割,
ichi-0049,ストレス反応は身体的症状のみであり、心理的・行動的な変化は含まれない。,×,セリエの汎適応症候群は警告反応期→抵抗期→疲憊期の3段階。ストレス反応には身体的・心理的・行動的反応が含まれ、慢性ストレスは免疫機能を低下させる。,,,,,基礎・役割,第2章 / ストレスの基本概念と健康障害のしくみ,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0050,警告反応期・抵抗期・疲憊期の3段階は、ハンス・セリエの汎適応症候群として知られる。,○,セリエの汎適応症候群は警告反応期→抵抗期→疲憊期の3段階。ストレス反応には身体的・心理的・行動的反応が含まれ、慢性ストレスは免疫機能を低下させる。,,,,,基礎・役割,第2章 / ストレスの基本概念と健康障害のしくみ,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0051,ストレッサーが除去されれば、ストレス反応は即座に消失する。,×,セリエの汎適応症候群は警告反応期→抵抗期→疲憊期の3段階。ストレス反応には身体的・心理的・行動的反応が含まれ、慢性ストレスは免疫機能を低下させる。,,,,,基礎・役割,第2章 / ストレスの基本概念と健康障害のしくみ,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0052,慢性的なストレスは免疫機能を高める効果があるとされている。,×,セリエの汎適応症候群は警告反応期→抵抗期→疲憊期の3段階。ストレス反応には身体的・心理的・行動的反応が含まれ、慢性ストレスは免疫機能を低下させる。,,,,,基礎・役割,第2章 / ストレスの基本概念と健康障害のしくみ,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0053,抑うつ気分や興味・喜びの喪失が主な症状である。,○,うつ病患者への「頑張れ」という励ましは、さらに追い詰める可能性があり不適切。休養と治療が基本であり、回復には時間がかかることを理解することが重要。,,,,,基礎・役割,第2章 / メンタルヘルス不調とは何か,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0054,「頑張れ」「気合で乗り切れ」などの励ましは、回復を促す有効な対応である。,×,うつ病患者への「頑張れ」という励ましは、さらに追い詰める可能性があり不適切。休養と治療が基本であり、回復には時間がかかることを理解することが重要。,,,,,基礎・役割,第2章 / メンタルヘルス不調とは何か,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0055,睡眠障害や食欲不振などの身体症状を伴うことがある。,○,うつ病患者への「頑張れ」という励ましは、さらに追い詰める可能性があり不適切。休養と治療が基本であり、回復には時間がかかることを理解することが重要。,,,,,基礎・役割,第2章 / メンタルヘルス不調とは何か,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0056,適切な治療により回復が見込める疾患である。,○,うつ病患者への「頑張れ」という励ましは、さらに追い詰める可能性があり不適切。休養と治療が基本であり、回復には時間がかかることを理解することが重要。,,,,,基礎・役割,第2章 / メンタルヘルス不調とは何か,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0057,発達障害は子どもにのみ見られるものであり、成人では診断されない。,×,ADHDの3主徴は不注意・多動性・衝動性。発達障害は成人でも診断される。障害者差別解消法・雇用促進法により合理的配慮が求められる。ASDは知的障害を伴わない場合が多い。,,,,,基礎・役割,第2章 / 発達障害・心身症と正しい向き合い方,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0058,ADHDの主な特性として、不注意・多動性・衝動性が挙げられる。,○,ADHDの3主徴は不注意・多動性・衝動性。発達障害は成人でも診断される。障害者差別解消法・雇用促進法により合理的配慮が求められる。ASDは知的障害を伴わない場合が多い。,,,,,基礎・役割,第2章 / 発達障害・心身症と正しい向き合い方,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0059,発達障害のある労働者は、職場での合理的配慮の対象外である。,×,ADHDの3主徴は不注意・多動性・衝動性。発達障害は成人でも診断される。障害者差別解消法・雇用促進法により合理的配慮が求められる。ASDは知的障害を伴わない場合が多い。,,,,,基礎・役割,第2章 / 発達障害・心身症と正しい向き合い方,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0060,アスペルガー症候群（ASD）は知的障害を必ず伴う。,×,ADHDの3主徴は不注意・多動性・衝動性。発達障害は成人でも診断される。障害者差別解消法・雇用促進法により合理的配慮が求められる。ASDは知的障害を伴わない場合が多い。,,,,,基礎・役割,第2章 / 発達障害・心身症と正しい向き合い方,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0061,民間企業に対する法定雇用率の適用はなく、努力義務にとどまる。,×,精神障害者保健福祉手帳を持つ者は法定雇用率の算定対象。合理的配慮の不提供は差別とみなされる。障害者の範囲には身体・知的・精神障害者が含まれる。,,,,,基礎・役割,第2章 / 障害者に関する法律（差別解消・雇用促進）,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0062,精神障害者は法定雇用率の算定対象に含まれる。,○,精神障害者保健福祉手帳を持つ者は法定雇用率の算定対象。合理的配慮の不提供は差別とみなされる。障害者の範囲には身体・知的・精神障害者が含まれる。,,,,,基礎・役割,第2章 / 障害者に関する法律（差別解消・雇用促進）,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0063,合理的配慮の提供を拒否しても、法的な問題は生じない。,×,精神障害者保健福祉手帳を持つ者は法定雇用率の算定対象。合理的配慮の不提供は差別とみなされる。障害者の範囲には身体・知的・精神障害者が含まれる。,,,,,基礎・役割,第2章 / 障害者に関する法律（差別解消・雇用促進）,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0064,障害者の範囲は身体障害者のみであり、精神障害者は含まれない。,×,精神障害者保健福祉手帳を持つ者は法定雇用率の算定対象。合理的配慮の不提供は差別とみなされる。障害者の範囲には身体・知的・精神障害者が含まれる。,,,,,基礎・役割,第2章 / 障害者に関する法律（差別解消・雇用促進）,ストレスおよびメンタルヘルスに関する基礎知識,
ichi-0065,仕事の量的負担や質的負担はストレス要因となる。,○,役割の曖昧さ（何をすべきか不明確）や役割葛藤（相反する要求への対応）は代表的な職場ストレス要因である。,,,,,職場環境・配慮,第3章 / ストレスを生む職場環境の要因,職場環境等の評価および改善の方法,
ichi-0066,職場の人間関係の問題もストレス要因のひとつである。,○,役割の曖昧さ（何をすべきか不明確）や役割葛藤（相反する要求への対応）は代表的な職場ストレス要因である。,,,,,職場環境・配慮,第3章 / ストレスを生む職場環境の要因,職場環境等の評価および改善の方法,
ichi-0067,役割の曖昧さや役割葛藤は、ストレスとは関係がない。,×,役割の曖昧さ（何をすべきか不明確）や役割葛藤（相反する要求への対応）は代表的な職場ストレス要因である。,,,,,職場環境・配慮,第3章 / ストレスを生む職場環境の要因,職場環境等の評価および改善の方法,
ichi-0068,交替勤務や深夜業は心身への負担となりうる。,○,役割の曖昧さ（何をすべきか不明確）や役割葛藤（相反する要求への対応）は代表的な職場ストレス要因である。,,,,,職場環境・配慮,第3章 / ストレスを生む職場環境の要因,職場環境等の評価および改善の方法,
ichi-0069,職場環境の改善は産業医が主導するものであり、管理監督者が主体的に行う必要はない。,×,ラインによる職場環境改善では、集団分析結果の活用、職場での話し合い、部下の意見の反映が重要。小さな改善から始めることが現実的。,,,,,職場環境・配慮,第3章 / 管理監督者による職場環境改善の進め方,職場環境等の評価および改善の方法,
ichi-0070,ストレスチェックの集団分析結果を活用し、職場のストレス状況を把握したうえで改善策を検討する。,○,ラインによる職場環境改善では、集団分析結果の活用、職場での話し合い、部下の意見の反映が重要。小さな改善から始めることが現実的。,,,,,職場環境・配慮,第3章 / 管理監督者による職場環境改善の進め方,職場環境等の評価および改善の方法,
ichi-0071,改善策は管理監督者が単独で決定し、部下の意見を聞く必要はない。,×,ラインによる職場環境改善では、集団分析結果の活用、職場での話し合い、部下の意見の反映が重要。小さな改善から始めることが現実的。,,,,,職場環境・配慮,第3章 / 管理監督者による職場環境改善の進め方,職場環境等の評価および改善の方法,
ichi-0072,職場環境改善は大規模な組織変更を伴うものに限られる。,×,ラインによる職場環境改善では、集団分析結果の活用、職場での話し合い、部下の意見の反映が重要。小さな改善から始めることが現実的。,,,,,職場環境・配慮,第3章 / 管理監督者による職場環境改善の進め方,職場環境等の評価および改善の方法,
ichi-0073,改善策の評価は実施直後に一度行えば十分であり、継続的なモニタリングは不要である。,×,改善策の評価はプロセス評価（実施状況）とアウトカム評価（結果）の両面から継続的に行うことが重要。効果がなければ計画を見直すPDCAサイクルを回す。,,,,,職場環境・配慮,第3章 / 改善策の効果を評価する,職場環境等の評価および改善の方法,
ichi-0074,評価指標として、労働者のストレス反応の変化や欠勤率などを活用することができる。,○,改善策の評価はプロセス評価（実施状況）とアウトカム評価（結果）の両面から継続的に行うことが重要。効果がなければ計画を見直すPDCAサイクルを回す。,,,,,職場環境・配慮,第3章 / 改善策の効果を評価する,職場環境等の評価および改善の方法,
ichi-0075,アウトカム評価のみが有効であり、プロセス評価は意味がない。,×,改善策の評価はプロセス評価（実施状況）とアウトカム評価（結果）の両面から継続的に行うことが重要。効果がなければ計画を見直すPDCAサイクルを回す。,,,,,職場環境・配慮,第3章 / 改善策の効果を評価する,職場環境等の評価および改善の方法,
ichi-0076,改善の効果が出なかった場合、同じ対策を繰り返すことが最善策である。,×,改善策の評価はプロセス評価（実施状況）とアウトカム評価（結果）の両面から継続的に行うことが重要。効果がなければ計画を見直すPDCAサイクルを回す。,,,,,職場環境・配慮,第3章 / 改善策の効果を評価する,職場環境等の評価および改善の方法,
ichi-0077,遅刻・早退・欠勤が増える。,○,表情が明るくなり会話が増えるのは不調のサインではない。「いつもと違う様子」として遅刻・欠勤増加、ミス増加、覇気がない、孤立などに気を配ることが重要。,,,,,職場環境・配慮,第4章 / 部下のストレスサインを見逃さない,個々の労働者への配慮,
ichi-0078,仕事のミスや判断力の低下が見られる。,○,表情が明るくなり会話が増えるのは不調のサインではない。「いつもと違う様子」として遅刻・欠勤増加、ミス増加、覇気がない、孤立などに気を配ることが重要。,,,,,職場環境・配慮,第4章 / 部下のストレスサインを見逃さない,個々の労働者への配慮,
ichi-0079,表情が明るくなり、会話が増える。,×,表情が明るくなり会話が増えるのは不調のサインではない。「いつもと違う様子」として遅刻・欠勤増加、ミス増加、覇気がない、孤立などに気を配ることが重要。,,,,,職場環境・配慮,第4章 / 部下のストレスサインを見逃さない,個々の労働者への配慮,
ichi-0080,口数が減り、表情が暗くなる。,○,表情が明るくなり会話が増えるのは不調のサインではない。「いつもと違う様子」として遅刻・欠勤増加、ミス増加、覇気がない、孤立などに気を配ることが重要。,,,,,職場環境・配慮,第4章 / 部下のストレスサインを見逃さない,個々の労働者への配慮,
