slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
field-limit-basics,分野別対策,メン管II種·相談·連携·復職【領域⑤⑥⑦·第5〜7章】,published,E分野,do,B,64,keep,,メン管II種·相談·連携·復職【領域⑤⑥⑦·第5〜7章】,分野別（field-limit-basics）（スコア上位で keep 候補）,no,limit,ok,no,yes,field,,
field-rights-basics,分野別対策,メン管II種·職場環境·配慮【領域③④·ストレス要因】,published,E分野,do,B,64,keep,,メン管II種·職場環境·配慮【領域③④·ストレス要因】,分野別（field-rights-basics）（スコア上位で keep 候補）,no,rights,ok,no,yes,field,,
past-questions-by-field,過去問活用,メン管II種·分野別過去問【7領域タグ·週10問·70点】,published,E過去問,do,B,66,keep,,メン管II種·分野別過去問【7領域タグ·週10問·70点】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
bookmark-review-method,過去問活用,メン管II種·ブックマーク復習【24h·7日·q/演習】,published,E過去問,do,B,36,merge,study-plan,メン管II種·ブックマーク復習【24h·7日·q/演習】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
drill-volume-guide,過去問活用,メン管II種·演習量の目安【100問·7領域·70点】,published,E過去問,do,B,36,merge,study-plan,メン管II種·演習量の目安【100問·7領域·70点】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
mock-exam-how-to,過去問活用,メン管II種·模試活用法【100問3回·48h弱点·70点】,published,E過去問,do,B,36,merge,study-plan,メン管II種·模試活用法【100問3回·48h弱点·70点】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
past-questions-review-cycle,過去問活用,メン管II種·解き直しサイクル【100問後·24h·7日·30日】,published,E過去問,do,B,36,merge,study-plan,メン管II種·解き直しサイクル【100問後·24h·7日·30日】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
past-questions-score-analysis,過去問活用,メン管II種·点数分析【100問·7領域·得点差5点】,published,E過去問,do,B,36,merge,study-plan,メン管II種·点数分析【100問·7領域·得点差5点】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
past-questions-wrong-reasons,過去問活用,メン管II種·誤答原因分析【4分類·深掘り·70点】,published,E過去問,do,B,36,merge,study-plan,メン管II種·誤答原因分析【4分類·深掘り·70点】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
timed-practice,過去問活用,メン管II種·時間計り演習【1.2分/問·50問11:00】,published,E過去問,do,B,36,merge,study-plan,メン管II種·時間計り演習【1.2分/問·50問11:00】,スコアリングで残否を判定（50本上限・スコア36で merge）,no,,n/a,no,yes,other,,
exam-day-flow,直前・当日,メン管II種·当日の流れ【到着〜120分〜退場】,published,F直前,do,A,76,keep,,メン管II種·当日の流れ【到着〜120分〜退場】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
exam-day-items,直前・当日,メン管II種·持ち物【7点·前日21:00·受験票】,published,F直前,do,A,76,keep,,メン管II種·持ち物【7点·前日21:00·受験票】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
final-day-checklist,直前・当日,メン管II種·前日チェック【21:00·就寝·7:00起床】,published,F直前,do,A,76,keep,,メン管II種·前日チェック【21:00·就寝·7:00起床】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
after-pass-procedure,注意点・更新,メン管II種·合格後手続き【交付→報告→活用·70点】,published,G合格後,do,C,56,keep,,メン管II種·合格後手続き【交付→報告→活用·70点】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,after-pass,,
retake-strategy,注意点・更新,メン管II種·再受験戦略【弱点優先·70点·方針転換】,published,G合格後,do,C,56,keep,,メン管II種·再受験戦略【弱点優先·70点·方針転換】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
score-gap-analysis,注意点・更新,メン管II種·得点差分析【70点ギャップ·5点回収】,published,G合格後,do,C,6,merge,retake-strategy,メン管II種·得点差分析【70点ギャップ·5点回収】,クラスター統合（テンプレ定義）,no,,n/a,no,yes,other,,
glossary-how-to,独学対策,メン管II種·用語解説活用【terms/·7領域·演習連携,published,H用語導線,know,B,56,keep,,メン管II種·用語解説活用【terms/·7領域·演習連携,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,yes,other,,
after-pass,受験・申込,メン管II種·合格後の証明書【交付·社内報告·現場活用】,published,I固有,do,A,50,keep,,メン管II種·合格後の証明書【交付·社内報告·現場活用】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
eligibility,受験・申込,メン管II種·申込前チェック【資格·選任·書類7点】,published,I固有,do,A,50,keep,,メン管II種·申込前チェック【資格·選任·書類7点】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
exam-last-minute,直前・当日,メン管II種·直前対策【1週間·弱点10問·70点】,published,I固有,do,A,50,keep,,メン管II種·直前対策【1週間·弱点10問·70点】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
schedule,受験・申込,メン管II種·3点早見【日程·受験料·持ち物】,published,I固有,do,A,50,keep,,メン管II種·3点早見【日程·受験料·持ち物】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
burnout-workplace,分野別対策,メン管II種·バーンアウトと職場【過重労働·回復·混同防止】,published,I固有,do,B,44,keep,,メン管II種·バーンアウトと職場【過重労働·回復·混同防止】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
common-mistakes,独学対策,メン管II種·よくある誤答【役割·診断·情報共有·70点】,published,I固有,do,B,44,keep,,メン管II種·よくある誤答【役割·診断·情報共有·70点】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
consultation-referral,分野別対策,メン管II種·相談·紹介【5ステップ·フォロー継続】,published,I固有,do,B,44,keep,,メン管II種·相談·紹介【5ステップ·フォロー継続】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
depression-workplace,分野別対策,メン管II種·うつ病と職場【休業·配慮·段階的復帰】,published,I固有,do,B,44,keep,,メン管II種·うつ病と職場【休業·配慮·段階的復帰】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
four-types-care,分野別対策,メン管II種·4つのケア【セルフ·ライン·内外·領域①】,published,I固有,do,B,44,keep,,メン管II種·4つのケア【セルフ·ライン·内外·領域①】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
health-nurse-role,分野別対策,メン管II種·保健師·産業保健【事業場内·連携·相談窓口】,published,I固有,do,B,44,keep,,メン管II種·保健師·産業保健【事業場内·連携·相談窓口】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
overwork-prevention,分野別対策,メン管II種·過重労働防止【把握·削減·休養·36協定】,published,I固有,do,B,44,keep,,メン管II種·過重労働防止【把握·削減·休養·36協定】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
past-questions-study,独学対策,メン管II種·過去問·演習活用【4段階·100問·70点】,published,I固有,do,B,44,keep,,メン管II種·過去問·演習活用【4段階·100問·70点】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
privacy-workplace,分野別対策,メン管II種·職場プライバシー【病名·共有·領域③④】,published,I固有,do,B,44,keep,,メン管II種·職場プライバシー【病名·共有·領域③④】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
return-to-work,分野別対策,メン管II種·職場復帰【5ステップ·段階的復帰】,published,I固有,do,B,44,keep,,メン管II種·職場復帰【5ステップ·段階的復帰】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
stress-model,分野別対策,メン管II種·ストレスモデル【要因·反応·領域②】,published,I固有,do,B,44,keep,,メン管II種·ストレスモデル【要因·反応·領域②】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
suicide-response,分野別対策,メン管II種·自殺念慮·対策【安全配慮·連携·領域⑤】,published,I固有,do,B,44,keep,,メン管II種·自殺念慮·対策【安全配慮·連携·領域⑤】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
workplace-bullying,分野別対策,メン管II種·職場いじめ【パワハラ以外·相談·再発防止】,published,I固有,do,B,44,keep,,メン管II種·職場いじめ【パワハラ以外·相談·再発防止】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
workplace-improvement,分野別対策,メン管II種·職場環境改善【PDCA·集団分析·領域③】,published,I固有,do,B,44,keep,,メン管II種·職場環境改善【PDCA·集団分析·領域③】,テンプレ外の固有 slug（検索需要を人手確認）（スコア上位で keep 候補）,no,,n/a,yes,yes,other,,
harassment-consultation,試験概要,メン管II種·ハラスメント相談窓口【秘密保持·迅速調査·領域③⑥】,published,I固有,do,C,38,merge,study-plan,メン管II種·ハラスメント相談窓口【秘密保持·迅速調査·領域③⑥】,テンプレ外の固有 slug（検索需要を人手確認）（50本上限・スコア38で merge）,no,,n/a,yes,yes,other,,
overview,試験概要,メン管II種·試験概要【100問·7領域·70点·ラインケア】,published,I固有,do,C,38,merge,study-plan,メン管II種·試験概要【100問·7領域·70点·ラインケア】,テンプレ外の固有 slug（検索需要を人手確認）（50本上限・スコア38で merge）,no,,n/a,yes,yes,other,,
subjects,出題・形式,メン管II種·科目一覧【7領域·第1〜7章対応表】,published,I固有,do,C,38,merge,study-plan,メン管II種·科目一覧【7領域·第1〜7章対応表】,テンプレ外の固有 slug（検索需要を人手確認）（50本上限・スコア38で merge）,no,,n/a,yes,yes,other,,
self-study-guide,独学対策,メン管II種·独学総合ガイド【3点セット·100問·70点】,published,I固有,do,B,8,merge,study-plan,メン管II種·独学総合ガイド【3点セット·100問·70点】,汎用ガイド→学習計画へ,no,,n/a,yes,yes,other,,
affiliate-problem-books,独学対策,メンタルヘルス・マネジメント検定II種のおすすめ問題集3選【2026年度版·過去問】,published,Jアフィ,buy,B,56,keep,,メンタルヘルス・マネジメント検定II種のおすすめ問題集3選【2026年度版·過去問】,アフィリエイト記事（ASPリンク済み・ポートフォリオ維持）,no,,n/a,no,no,affiliate,,
affiliate-textbooks-recommend,独学対策,メンタルヘルス・マネジメント検定II種のおすすめテキスト3選【2026年度版·独学】,published,Jアフィ,buy,B,56,keep,,メンタルヘルス・マネジメント検定II種のおすすめテキスト3選【2026年度版·独学】,アフィリエイト記事（ASPリンク済み・ポートフォリオ維持）,no,,n/a,no,no,affiliate,,
compare-similar-qualifications,試験概要,メンタルヘルス・マネジメント検定II種の類似資格との比較,archived,A制度,do,C,28,skip,,メンタルヘルス・マネジメント検定II種の類似資格との比較,非公開（archived）,no,,n/a,no,no,compare,,
exam-purpose-and-career,試験概要,メンタルヘルス・マネジメント検定II種の試験目的とキャリア,archived,A制度,do,C,28,skip,,メンタルヘルス・マネジメント検定II種の試験目的とキャリア,非公開（archived）,no,,n/a,no,no,other,,
concurrent-exam-rules,受験・申込,メンタルヘルス・マネジメント検定II種の併願・同日受験のルール,archived,A制度,do,A,9,skip,exam-eligibility,メンタルヘルス・マネジメント検定II種の併願・同日受験のルール,非公開（archived）,no,,n/a,no,no,other,,
education-requirement,受験・申込,メンタルヘルス・マネジメント検定II種の学歴要件と受験資格,archived,A制度,do,A,9,skip,exam-eligibility,メンタルヘルス・マネジメント検定II種の学歴要件と受験資格,非公開（archived）,no,,n/a,no,no,other,,
exemption-system,受験・申込,メンタルヘルス・マネジメント検定II種の免除制度,archived,A制度,do,A,9,skip,exam-eligibility,メンタルヘルス・マネジメント検定II種の免除制度,非公開（archived）,no,,n/a,no,no,other,,
first-time-exam-guide,試験概要,メンタルヘルス・マネジメント検定II種の初めて受験する人向けガイド,archived,A制度,do,C,9,skip,study-plan,メンタルヘルス・マネジメント検定II種の初めて受験する人向けガイド,非公開（archived）,no,,n/a,no,no,other,,
reschedule-and-absence,受験・申込,メンタルヘルス・マネジメント検定II種の欠席・再受験の手続き,archived,A制度,do,A,9,skip,exam-schedule,メンタルヘルス・マネジメント検定II種の欠席・再受験の手続き,非公開（archived）,no,,n/a,no,no,other,,
work-experience-requirement,受験・申込,メンタルヘルス・マネジメント検定II種の実務経験と受験資格,archived,A制度,do,A,9,skip,exam-eligibility,メンタルヘルス・マネジメント検定II種の実務経験と受験資格,非公開（archived）,no,,n/a,no,no,other,,
new-topics-trend,出題・形式,メンタルヘルス・マネジメント検定II種の近年の出題トレンド,archived,B形式,do,C,7,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の近年の出題トレンド,非公開（archived）,no,,n/a,no,no,other,,
scope-revision-history,出題・形式,メンタルヘルス・マネジメント検定II種の出題範囲の改定履歴,archived,B形式,do,C,7,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の出題範囲の改定履歴,非公開（archived）,no,,n/a,no,no,other,,
scope-vs-past-questions,出題・形式,メンタルヘルス・マネジメント検定II種の出題範囲と過去問の対応,archived,B形式,do,C,7,skip,syllabus-how-to-read,メンタルヘルス・マネジメント検定II種の出題範囲と過去問の対応,非公開（archived）,no,,n/a,no,no,other,,
weight-by-topic,出題・形式,メンタルヘルス・マネジメント検定II種の分野別配点と優先順位,archived,B形式,do,C,7,skip,subject-breakdown,メンタルヘルス・マネジメント検定II種の分野別配点と優先順位,非公開（archived）,no,,n/a,no,no,other,,
cbt-computer-exam,出題・形式,メンタルヘルス・マネジメント検定II種のCBT・マークシート対策,archived,B形式,do,C,5,skip,,メンタルヘルス・マネジメント検定II種のCBT・マークシート対策,非公開（archived）,no,,n/a,no,no,other,,
difficulty-for-beginners,合格・難易度,メンタルヘルス・マネジメント検定II種の初学者向け難易度の見方,archived,C難易度,do,A,38,skip,,メンタルヘルス・マネジメント検定II種の初学者向け難易度の見方,非公開（archived）,no,,n/a,no,no,other,,
pass-rate-how-to-read,合格・難易度,メンタルヘルス・マネジメント検定II種の合格率・統計の読み方,archived,C難易度,do,A,38,skip,,メンタルヘルス・マネジメント検定II種の合格率・統計の読み方,非公開（archived）,no,,n/a,no,no,other,,
almost-correct-review,復習・苦手克服,メンタルヘルス・マネジメント検定II種の惜しい問題の見直し方,archived,D学習,do,C,24,skip,,メンタルヘルス・マネジメント検定II種の惜しい問題の見直し方,非公開（archived）,no,,n/a,no,no,other,,
note-taking-method,復習・苦手克服,メンタルヘルス・マネジメント検定II種のノートの取り方,archived,D学習,do,C,8,skip,study-plan,メンタルヘルス・マネジメント検定II種のノートの取り方,非公開（archived）,no,,n/a,no,no,other,,
self-study-mistakes,独学対策,メンタルヘルス・マネジメント検定II種の独学のよくある失敗,archived,D学習,do,B,8,skip,study-plan,メンタルヘルス・マネジメント検定II種の独学のよくある失敗,非公開（archived）,no,,n/a,no,no,other,,
textbook-vs-past-questions,独学対策,メンタルヘルス・マネジメント検定II種のテキストと過去問の優先順位,archived,D学習,do,B,8,skip,textbook-selection,メンタルヘルス・マネジメント検定II種のテキストと過去問の優先順位,非公開（archived）,no,,n/a,no,no,other,,
time-management,学習計画,メンタルヘルス・マネジメント検定II種の時間管理と習慣化,archived,D学習,do,B,8,skip,study-plan,メンタルヘルス・マネジメント検定II種の時間管理と習慣化,非公開（archived）,no,,n/a,no,no,other,,
field-law-past-question-focus,分野別対策,メンタルヘルス・マネジメント検定II種の基礎・役割の過去問傾向,archived,E分野,do,B,56,skip,,メンタルヘルス・マネジメント検定II種の基礎・役割の過去問傾向,非公開（archived）,no,law,ok,no,no,field,,
field-limit-past-question-focus,分野別対策,メンタルヘルス・マネジメント検定II種の相談・連携・復職の過去問傾向,archived,E分野,do,B,56,skip,,メンタルヘルス・マネジメント検定II種の相談・連携・復職の過去問傾向,非公開（archived）,no,limit,ok,no,no,field,,
field-rights-past-question-focus,分野別対策,メンタルヘルス・マネジメント検定II種の職場環境・配慮の過去問傾向,archived,E分野,do,B,56,skip,,メンタルヘルス・マネジメント検定II種の職場環境・配慮の過去問傾向,非公開（archived）,no,rights,ok,no,no,field,,
field-law-calculation,分野別対策,メンタルヘルス・マネジメント検定II種の基礎・役割の数値問題,archived,E分野,do,B,6,skip,field-law-basics,メンタルヘルス・マネジメント検定II種の基礎・役割の数値問題,非公開（archived）,no,law,ok,no,no,field,,
field-law-case-study,分野別対策,メンタルヘルス・マネジメント検定II種の基礎・役割の事例・ケース,archived,E分野,do,B,6,skip,field-law-basics,メンタルヘルス・マネジメント検定II種の基礎・役割の事例・ケース,非公開（archived）,no,law,ok,no,no,field,,
field-law-frequent-topics,分野別対策,メンタルヘルス・マネジメント検定II種の基礎・役割の頻出論点,archived,E分野,do,B,6,skip,field-law-basics,メンタルヘルス・マネジメント検定II種の基礎・役割の頻出論点,非公開（archived）,no,law,ok,no,no,field,,
field-limit-calculation,分野別対策,メンタルヘルス・マネジメント検定II種の相談・連携・復職の数値,archived,E分野,do,B,6,skip,field-limit-basics,メンタルヘルス・マネジメント検定II種の相談・連携・復職の数値,非公開（archived）,no,limit,ok,no,no,field,,
field-limit-case-study,分野別対策,メンタルヘルス・マネジメント検定II種の相談・連携・復職の事例・ケース,archived,E分野,do,B,6,skip,field-limit-basics,メンタルヘルス・マネジメント検定II種の相談・連携・復職の事例・ケース,非公開（archived）,no,limit,ok,no,no,field,,
field-limit-frequent-topics,分野別対策,メンタルヘルス・マネジメント検定II種の相談・連携・復職の頻出論点,archived,E分野,do,B,6,skip,field-limit-basics,メンタルヘルス・マネジメント検定II種の相談・連携・復職の頻出論点,非公開（archived）,no,limit,ok,no,no,field,,
