slug,title,category,tags,summary,highlight,item_rows,article_title,article_lead,exam_points,common_mistakes,memory_tip,related_terms,faq_1_question,faq_1_answer,faq_2_question,faq_2_answer,faq_3_question,faq_3_answer,faq_4_question,faq_4_answer
s33-record-retention,相談記録の保存管理,相談・連携・復職,メンタルヘルスII種;S33;数値,相談記録の保存管理に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",相談記録の保存管理｜メンタルヘルスII種 数値S33,S33の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,就業上の配慮;復職;再発予防,「相談記録の保存管理」の試験での位置づけは？,S33の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存管理」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存管理」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存管理」の公式情報はどこで確認しますか？,「相談記録の保存管理」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s34-record-retention,相談記録の保存期間,相談・連携・復職,メンタルヘルスII種;S34;数値,相談記録の保存期間に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",相談記録の保存期間｜メンタルヘルスII種 数値S34,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,就業上の配慮;復職;再発予防,「相談記録の保存期間」の試験での位置づけは？,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存期間」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存期間」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「相談記録の保存期間」の公式情報はどこで確認しますか？,「相談記録の保存期間」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s31-exam-study-cycle,学習サイクルの配分目安,基礎・役割,メンタルヘルスII種;S31;数値,学習サイクルの配分目安に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認を優先""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違えに注意""}, {""item"": ""運用頻度"", ""value"": ""年間計画で管理"", ""note"": ""未実施を防ぐ""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",学習サイクルの配分目安｜メンタルヘルスII種 数値S31,数値問題は数字そのものより、誰に適用されるかの判定が重要です。代表値・条件・主体を1セットで覚え、比較表と接続して復習してください。,数値と条件を分けて覚えない;主体を確認;年度更新を確認,数字のみ覚える;似た制度の値を流用する;単位を見落とす,「数値・条件・主体」を1行で書く。,メンタルヘルス不調の定義;管理監督者への教育研修・情報提供;人事労務管理スタッフ,「学習サイクルの配分目安」の試験での位置づけは？,数値問題は数字そのものより、誰に適用されるかの判定。代表値・条件・主体を1セットで覚え、比較表と接続して復習してください。 試験では数値と条件を分けて覚えないを軸に、関連条文・数値・主体の取り違えを照合してください。,「学習サイクルの配分目安」でよくある誤答パターンは？,数字のみ覚える;似た制度の値を流用する;単位を見落とす 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「学習サイクルの配分目安」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「学習サイクルの配分目安」の公式情報はどこで確認しますか？,「学習サイクルの配分目安」では数値と条件を分けて覚えないを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ覚える;似た制度の値を流用する;単位を見落とす。 過去問では条件文の主語入れ替え肢に注意してください。
s31-youkou-check-timing,要項確認タイミングの管理,基礎・役割,メンタルヘルスII種;S31;数値,要項確認タイミングの管理に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認を優先""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違えに注意""}, {""item"": ""運用頻度"", ""value"": ""年間計画で管理"", ""note"": ""未実施を防ぐ""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",要項確認タイミングの管理｜メンタルヘルスII種 数値S31,数値問題は数字そのものより、誰に適用されるかの判定が重要です。代表値・条件・主体を1セットで覚え、比較表と接続して復習してください。,数値と条件を分けて覚えない;主体を確認;年度更新を確認,数字のみ覚える;似た制度の値を流用する;単位を見落とす,「数値・条件・主体」を1行で書く。,メンタルヘルス不調の定義;管理監督者への教育研修・情報提供;人事労務管理スタッフ,「要項確認タイミングの管理」の試験での位置づけは？,数値問題は数字そのものより、誰に適用されるかの判定。代表値・条件・主体を1セットで覚え、比較表と接続して復習してください。 試験では数値と条件を分けて覚えないを軸に、関連条文・数値・主体の取り違えを照合してください。,「要項確認タイミングの管理」でよくある誤答パターンは？,数字のみ覚える;似た制度の値を流用する;単位を見落とす 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「要項確認タイミングの管理」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「要項確認タイミングの管理」の公式情報はどこで確認しますか？,「要項確認タイミングの管理」では数値と条件を分けて覚えないを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ覚える;似た制度の値を流用する;単位を見落とす。 過去問では条件文の主語入れ替え肢に注意してください。
s32-fukki-step,段階的復職のステップ目安,相談・連携・復職,メンタルヘルスII種;S32;数値,段階的復職ステップ目安に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",段階的復職のステップ目安｜メンタルヘルスII種 数値S32,S33の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,休職;復職;段階的復職,「段階的復職のステップ目安」の試験での位置づけは？,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定。代表値・条件・主体を1セットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「段階的復職のステップ目安」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「段階的復職のステップ目安」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「段階的復職のステップ目安」の公式情報はどこで確認しますか？,「段階的復職のステップ目安」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s32-kyushoku-period,休職期間の管理・記録,相談・連携・復職,メンタルヘルスII種;S32;数値,休職期間の管理・記録に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",休職期間の管理・記録｜メンタルヘルスII種 数値S32,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定が重要です。代表値・条件・主体を1セットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,休職;復職;段階的復職,「休職期間の管理・記録」の試験での位置づけは？,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定。代表値・条件・主体を1セットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理・記録」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理・記録」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理・記録」の公式情報はどこで確認しますか？,「休職期間の管理・記録」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s34-kyushoku-period,休職期間の管理記録,相談・連携・復職,メンタルヘルスII種;S34;数値,休職期間の管理記録に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",休職期間の管理記録｜メンタルヘルスII種 数値S34,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,就業上の配慮;復職;再発予防,「休職期間の管理記録」の試験での位置づけは？,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理記録」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理記録」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「休職期間の管理記録」の公式情報はどこで確認しますか？,「休職期間の管理記録」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s32-mensetsu-timing,医師面接・面接指導の実施タイミング,職場環境・配慮,メンタルヘルスII種;S32;数値,医師面接・面接指導の実施タイミングに関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",医師面接・面接指導の実施タイミング｜メンタルヘルスII種 数値S32,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定が重要です。代表値・条件・主体を1セットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,ストレスチェック;面接指導;集団分析,「医師面接・面接指導の実施タイミング」の試験での位置づけは？,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定。代表値・条件・主体を1セットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接・面接指導の実施タイミング」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接・面接指導の実施タイミング」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接・面接指導の実施タイミング」の公式情報はどこで確認しますか？,「医師面接・面接指導の実施タイミング」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s34-mensetsu-timing,医師面接の実施タイミング,職場環境・配慮,メンタルヘルスII種;S34;数値,医師面接の実施タイミングに関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",医師面接の実施タイミング｜メンタルヘルスII種 数値S34,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,職場環境の改善;過重労働防止;ストレスチェック,「医師面接の実施タイミング」の試験での位置づけは？,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接の実施タイミング」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接の実施タイミング」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「医師面接の実施タイミング」の公式情報はどこで確認しますか？,「医師面接の実施タイミング」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s32-shudan-cycle,集団分析の実施サイクル,職場環境・配慮,メンタルヘルスII種;S32;数値,集団分析の実施サイクルに関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認"", ""angle"": ""構造・取扱い""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止"", ""angle"": ""構造・取扱い""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止"", ""angle"": ""構造・取扱い""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける"", ""angle"": ""構造・取扱い""}]",集団分析の実施サイクル｜メンタルヘルスII種 数値S32,S34の数値は再発防止・配置転換・過重労働・職場環境の主体と条件のセットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,ストレスチェック;面接指導;集団分析,「集団分析の実施サイクル」の試験での位置づけは？,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定。代表値・条件・主体を1セットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「集団分析の実施サイクル」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「集団分析の実施サイクル」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「集団分析の実施サイクル」の公式情報はどこで確認しますか？,「集団分析の実施サイクル」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
s38-shudan-cycle,集団分析の数値整理（判例・ガイド）,職場環境・配慮,メンタルヘルスII種;S38;数値,「集団分析の周期」で押さえる周期の代表数値・条件・記録要件を、判例・ガイドの観点で表に整理します。,集団分析の頻度 — 関連制度：職場環境の改善 / 記録・保存：条文×通知の対応表,"[{""item"": ""記録・保存"", ""value"": ""条文×通知の対応表"", ""note"": ""異常時は原因を併記"", ""nuance"": ""周期"", ""angle"": ""判例・ガイド""}, {""item"": ""試験の確認点"", ""value"": ""優先関係の整理"", ""note"": ""判例・ガイドの観点で口述"", ""nuance"": ""周期"", ""angle"": ""判例・ガイド""}, {""item"": ""確認テーマ"", ""value"": ""集団分析の周期"", ""note"": ""通知・ガイドとの対応"", ""nuance"": ""周期"", ""angle"": ""判例・ガイド""}, {""item"": ""数値・条件"", ""value"": ""周期は試験要項・省令で確認"", ""note"": ""改正差分を更新日で管理"", ""nuance"": ""周期"", ""angle"": ""判例・ガイド""}, {""item"": ""関連制度"", ""value"": ""職場環境の改善"", ""note"": ""横串の比較表と併読"", ""nuance"": ""周期"", ""angle"": ""判例・ガイド""}, {""item"": ""関連制度"", ""value"": ""職場環境の改善"", ""note"": ""横串の比較表と併読"", ""nuance"": ""頻度"", ""angle"": ""判例・ガイド""}, {""item"": ""記録・保存"", ""value"": ""条文×通知の対応表"", ""note"": ""異常時は原因を併記"", ""nuance"": ""頻度"", ""angle"": ""判例・ガイド""}, {""item"": ""試験の確認点"", ""value"": ""優先関係の整理"", ""note"": ""判例・ガイドの観点で口述"", ""nuance"": ""頻度"", ""angle"": ""判例・ガイド""}, {""item"": ""確認テーマ"", ""value"": ""集団分析の頻度"", ""note"": ""通知・ガイドとの対応"", ""nuance"": ""頻度"", ""angle"": ""判例・ガイド""}, {""item"": ""数値・条件"", ""value"": ""頻度は試験要項・省令で確認"", ""note"": ""改正差分を更新日で管理"", ""nuance"": ""頻度"", ""angle"": ""判例・ガイド""}, {""item"": ""関連制度"", ""value"": ""職場環境の改善"", ""note"": ""横串の比較表と併読"", ""nuance"": ""時間"", ""angle"": ""判例・ガイド""}, {""item"": ""記録・保存"", ""value"": ""条文×通知の対応表"", ""note"": ""異常時は原因を併記"", ""nuance"": ""時間"", ""angle"": ""判例・ガイド""}, {""item"": ""試験の確認点"", ""value"": ""優先関係の整理"", ""note"": ""判例・ガイドの観点で口述"", ""nuance"": ""時間"", ""angle"": ""判例・ガイド""}, {""item"": ""確認テーマ"", ""value"": ""集団分析の時間"", ""note"": ""通知・ガイドとの対応"", ""nuance"": ""時間"", ""angle"": ""判例・ガイド""}, {""item"": ""数値・条件"", ""value"": ""時間は試験要項・省令で確認"", ""note"": ""改正差分を更新日で管理"", ""nuance"": ""時間"", ""angle"": ""判例・ガイド""}, {""item"": ""記録・保存"", ""value"": ""条文×通知の対応表"", ""note"": ""異常時は原因を併記"", ""nuance"": ""kijun"", ""angle"": ""判例・ガイド""}, {""item"": ""試験の確認点"", ""value"": ""優先関係の整理"", ""note"": ""判例・ガイドの観点で口述"", ""nuance"": ""kijun"", ""angle"": ""判例・ガイド""}, {""item"": ""確認テーマ"", ""value"": ""集団分析の基準"", ""note"": ""通知・ガイドとの対応"", ""nuance"": ""kijun"", ""angle"": ""判例・ガイド""}, {""item"": ""数値・条件"", ""value"": ""基準は試験要項・省令で確認"", ""note"": ""改正差分を更新日で管理"", ""nuance"": ""kijun"", ""angle"": ""判例・ガイド""}, {""item"": ""関連制度"", ""value"": ""職場環境の改善"", ""note"": ""横串の比較表と併読"", ""nuance"": ""kijun"", ""angle"": ""判例・ガイド""}, {""item"": ""関連制度"", ""value"": ""職場環境の改善"", ""note"": ""横串の比較表と併読"", ""nuance"": ""確認"", ""angle"": ""判例・ガイド""}, {""item"": ""記録・保存"", ""value"": ""条文×通知の対応表"", ""note"": ""異常時は原因を併記"", ""nuance"": ""確認"", ""angle"": ""判例・ガイド""}, {""item"": ""試験の確認点"", ""value"": ""優先関係の整理"", ""note"": ""判例・ガイドの観点で口述"", ""nuance"": ""確認"", ""angle"": ""判例・ガイド""}, {""item"": ""確認テーマ"", ""value"": ""集団分析の確認"", ""note"": ""通知・ガイドとの対応"", ""nuance"": ""確認"", ""angle"": ""判例・ガイド""}, {""item"": ""数値・条件"", ""value"": ""確認は試験要項・省令で確認"", ""note"": ""改正差分を更新日で管理"", ""nuance"": ""確認"", ""angle"": ""判例・ガイド""}]",集団分析の周期｜メンタルヘルスII種 数値S38,「集団分析の周期」では、数値だけでなく義務主体・実施条件・記録保存まで一体で確認してください。集団分析は法令条文とガイドライン・通知の対応表を作成し、優先関係を確認してください。,優先順位を表で整理;集団分析のガイドと条文の対応;通知・通達の位置づけ確認,旧要項・旧数値をそのまま適用;集団分析の主体を固定せずに暗記;職場環境の改善と類似制度を混同,「集団分析＝条文→ガイド→事例」,職場環境の改善;過重労働防止;ストレスチェック,「集団分析」で確認すべき数値・条件は？,集団分析（判例・ガイド）では職場環境の改善に関する数値だけでなく、義務主体・実施条件・記録保存までセットで確認してください。 試験では優先順位を表で整理をセットで確認してください。 誤答では旧要項・旧数値をそのまま適用に注意してください。,「集団分析」の数値暗記のコツは？,「集団分析＝条文→ガイド→事例」 数値は条文・試験要項の表と照合し、旧要項との差分は更新日付で管理してください。 試験では優先順位を表で整理をセットで確認してください。 誤答では旧要項・旧数値をそのまま適用に注意してください。,「集団分析」の典型誤答は？,旧要項・旧数値をそのまま適用;集団分析の主体を固定せずに暗記;職場環境の改善と類似制度を混同 判例・ガイドでは条件文の主語と数値が入れ替わる肢に注意してください。 試験では優先順位を表で整理をセットで確認してください。,「集団分析」の関連資料は？,用語集の「職場環境の改善」、関連法令・試験要項、直近の通知・ガイドラインを照合してください。 直前は本ページの確認表と過去問を往復してください。 試験では優先順位を表で整理をセットで確認してください。
s32-stress-implementation,ストレスチェック実施率の目安,職場環境・配慮,メンタルヘルスII種;S32;数値,ストレスチェック実施率の目安に関する数値・頻度・手順の見方を整理します。,数値は一次情報で最新確認,"[{""item"": ""代表値"", ""value"": ""要項・規則確認"", ""note"": ""固定暗記より条件確認""}, {""item"": ""適用条件"", ""value"": ""対象者・規模を確認"", ""note"": ""主語の取り違え防止""}, {""item"": ""運用"", ""value"": ""年間計画で管理"", ""note"": ""未実施の防止""}, {""item"": ""試験対策"", ""value"": ""数値+条件で暗記"", ""note"": ""単独暗記を避ける""}]",ストレスチェック実施率の目安｜メンタルヘルスII種 数値S32,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定が重要です。代表値・条件・主体を1セットで復習してください。,数値と条件をセット;主体を確認;年度更新を確認,数字のみ暗記;似た制度の値を流用;単位の見落とし,「数値・条件・主体」を1行で書く。,ストレスチェック;面接指導;集団分析,「ストレスチェック実施率の目安」の試験での位置づけは？,復職・休職・面接・集団分析の数値は、誰にいつ適用されるかの判定。代表値・条件・主体を1セットで復習してください。 試験では数値と条件をセットを軸に、関連条文・数値・主体の取り違えを照合してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「ストレスチェック実施率の目安」でよくある誤答パターンは？,数字のみ暗記;似た制度の値を流用;単位の見落とし 誤答肢では主体を確認の主語や条件が入れ替わることが多いので、比較表で整理してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「ストレスチェック実施率の目安」の覚え方・確認手順は？,覚え方：「数値・条件・主体」を1行で書く。 早見の要点：数値は一次情報で最新確認 用語集→本ページ→過去問の順で往復し、正誤理由をメモに残してください。 過去問で正誤の型を分類し、試験要項で数値・期限を照合してください。,「ストレスチェック実施率の目安」の公式情報はどこで確認しますか？,「ストレスチェック実施率の目安」では数値と条件をセットを軸に、条文・数値・主体の取り違えを比較表で整理してください。 典型誤答は数字のみ暗記;似た制度の値を流用;単位の見落とし。 過去問では条件文の主語入れ替え肢に注意してください。
